cluster_id,n_patents,assignee_external_ratio,industry_mix
0,118,1.0,"{'other': 96, 'mobility': 7, 'tech_ai': 18, 'finance': 2}"
1,65,0.9688,"{'tech_ai': 14, 'other': 38, 'mobility': 9, 'construction': 2, 'finance': 1}"
2,27,0.9355,"{'other': 14, 'finance': 6, 'mobility': 6, 'tech_ai': 3, 'construction': 2}"
3,16,0.9412,"{'other': 16, 'construction': 1}"
4,61,0.9833,"{'tech_ai': 14, 'other': 41, 'mobility': 4, 'construction': 1}"
5,170,1.0,"{'tech_ai': 18, 'other': 149, 'mobility': 9}"
6,22,1.0,"{'other': 21, 'tech_ai': 4}"
7,148,0.9797,"{'other': 104, 'tech_ai': 11, 'mobility': 27, 'finance': 3, 'construction': 3}"
8,56,0.9833,"{'other': 45, 'tech_ai': 8, 'mobility': 3, 'construction': 1, 'finance': 3}"
9,237,0.9917,"{'tech_ai': 41, 'other': 165, 'mobility': 10, 'finance': 23, 'construction': 2}"
10,30,1.0,"{'other': 21, 'mobility': 3, 'tech_ai': 7}"
11,49,0.9583,"{'other': 38, 'tech_ai': 6, 'construction': 2, 'finance': 1, 'mobility': 1}"
12,55,0.9661,"{'other': 35, 'mobility': 4, 'construction': 2, 'tech_ai': 12, 'finance': 6}"
13,51,1.0,"{'tech_ai': 12, 'other': 36, 'finance': 2}"
14,12,1.0,"{'finance': 1, 'other': 14, 'tech_ai': 2}"
