cluster_id,n_patents,cpc_subclass_entropy,external_cpc_ratio,assignee_external_ratio,originality_index,convergence_score
5,170,4.1726,0.9719,1.0,0.7603,0.9736
10,30,3.3125,0.9808,1.0,0.8054,0.7927
7,148,2.8041,0.9883,0.9797,0.8202,0.4323
12,55,3.1752,0.9934,0.9661,0.7921,0.3723
1,65,3.07,0.9772,0.9688,0.7333,0.1668
0,118,2.4291,0.9756,1.0,0.663,0.1378
13,51,3.0844,0.9184,1.0,0.6686,0.1374
6,22,2.6825,0.9009,1.0,0.717,0.0153
4,61,4.1647,0.7867,0.9833,0.7305,-0.1119
9,237,2.1305,0.9932,0.9917,0.5332,-0.2702
2,27,3.1423,1.0,0.9355,0.6372,-0.3017
14,12,1.7909,0.9872,1.0,0.5331,-0.3251
8,56,2.0543,0.9926,0.9833,0.4827,-0.5078
11,49,3.325,0.9039,0.9583,0.5,-0.6888
3,16,2.3477,1.0,0.9412,0.5,-0.8228
