cluster_id,n_patents,cpc_subclass_entropy,n_cpc_subclasses,construction_cpc_ratio,external_cpc_ratio
0,118,2.4291,21,0.0244,0.9756
1,65,3.07,15,0.0228,0.9772
2,27,3.1423,13,0.0,1.0
3,16,2.3477,10,0.0,1.0
4,61,4.1647,24,0.2133,0.7867
5,170,4.1726,40,0.0281,0.9719
6,22,2.6825,12,0.0991,0.9009
7,148,2.8041,18,0.0117,0.9883
8,56,2.0543,13,0.0074,0.9926
9,237,2.1305,21,0.0068,0.9932
10,30,3.3125,17,0.0192,0.9808
11,49,3.325,24,0.0961,0.9039
12,55,3.1752,13,0.0066,0.9934
13,51,3.0844,15,0.0816,0.9184
14,12,1.7909,7,0.0128,0.9872
