topic_id,top_15_words
0,"sample, test, timeseries, pipe, management, infrastructure, battery, lighting, report, power, classification, resource, file, receiving, value"
1,"service, execution, platform, industrial, light, center, entity, operational, processing, application, quality, rack, edge, control, set"
2,"drone, flight, according, path, signal, sensor, control, automated, printing, tunnel, tag, electrical, grid, pedestrian, hazard"
3,"network, service, vehicle, traffic, infrastructure, communication, performance, computing, virtual, set, environment, control, cloud, server, monitoring"
4,"location, sensor, position, concrete, structure, vehicle, value, rail, specific, monitoring, condition, drone, item, drum, area"
5,"machine, learning, user, processor, instruction, infrastructure, medium, non, readable, metric, set, topology, network, monitoring, application"
6,"change, building, user, event, object, property, cluster, application, egress, computing, real, emergency, location, plan, determining"
7,"control, sensor, mobile, building, signal, condition, physical, monitoring, node, component, alarm, equipment, operation, circuit, location"
8,"vehicle, sensor, autonomous, infrastructure, route, motor, communication, semi, controller, drive, unit, collision, message, operation, driving"
9,"vehicle, autonomous, control, driving, level, infrastructure, tool, operation, instruction, agent, signal, output, set, processor, determining"
10,"robot, inspection, position, moving, frame, body, according, signal, area, surface, structure, end, segregation, wall, direction"
11,"module, water, control, component, element, power, operation, performance, according, health, end, behavior, two, indicator, layer"
12,"image, point, aerial, feature, camera, sensor, site, structure, according, processing, train, tunnel, infrastructure, step, monitoring"
13,"area, assembly, path, point, parameter, building, sensor, unit, set, dimensional, egress, aircraft, mobile, stage, generating"
14,"sensor, object, image, location, vehicle, monitoring, associated, communication, receiving, video, network, event, message, camera, hazard"
